Known Adaptor Proteins,Description
BCAR3,Breast cancer anti estrogen resistance protein 3
CBL,Casitas B lineage Lymphoma
FRS2,Fibroblast growth factor receptor substrate 2
GAB2,GRB2 associated binding protein 2
GRAP,GRB2 related adaptor protein
GRAP2,GRB2 related adaptor protein 2
GRB2,Growth factor receptor bound protein 2
IRS1,Insulin receptor substrate 1
LDLRAP1,low density lipoprotein receptor adaptor protein 1
MYD88 , Myeloid differentiation primary response gene 88
NCK1 ,NCK adaptor protein 1
NCK2 ,NCK adaptor protein 2
NOS1AP ,nitric oxide synthase 1 (neuronal) adaptor
PIK3AP1 ,phosphoinositide 3
SH2B1 ,SH2B adaptor protein 1
SH2B2 ,SH2B adaptor protein 2
SH2B3 ,SH2B adaptor protein 3
SH2D3A ,SH2 domain containing 3A
SH2D3C ,SH2 domain containing 3C
SNTA1 ,"Syntrophin, alpha 1"
SHB ,Src homology 2 domain containing adaptor B 
SLC4A1AP,
,
